Datetime,Central Interior,Coastal,Georgia Strait,Lower Fraser Valley,Northeast,Southern Interior
2022-01-12 03:00:00,4.3796935,4.0,1.8227645,2.052583,2.1055835,6.033625
2022-01-12 04:00:00,7.3717775,2.7426095,1.8100299999999998,1.911306,2.1163045,1.827443
2022-01-12 05:00:00,5.4434645,3.465592,1.1807075,1.444528,2.078291,5.782944
2022-01-12 06:00:00,6.828361,4.5847765,2.0958905000000003,1.665292,1.9431945,5.327513
2022-01-12 07:00:00,5.0845135,3.1375450000000003,1.8983675,2.0885,1.50235,7.216714
2022-01-12 08:00:00,8.292241,3.931283,2.2384630000000003,2.218333,1.613639,7.068635
2022-01-12 09:00:00,6.8299725,5.2943535,2.0679235,3.082284,1.5780415,7.073902
2022-01-12 10:00:00,11.528571,6.0,3.195989,2.964528,1.528111,8.169984
2022-01-12 11:00:00,8.148902,4.0,4.1949245,2.71,1.6189375000000001,7.993124
2022-01-12 12:00:00,10.157032,3.850643,3.257095,2.889722,1.1800385,7.596652
2022-01-12 13:00:00,8.319788,3.5966745,3.4194685,2.879194,0.86039555,8.393849
2022-01-12 14:00:00,13.475999,5.497221,2.6244695,2.551028,0.8434084500000001,7.702567
2022-01-12 15:00:00,12.73372,3.0,3.3156255,2.33,1.0515625,5.777233
2022-01-12 16:00:00,7.285604,3.5,2.0470085,2.527083,1.3077429999999999,7.688354
2022-01-12 17:00:00,7.1296040000000005,5.0,3.9017095,3.800523,1.372271,12.74434
2022-01-12 18:00:00,8.568888,5.0,4.023809,4.551472,2.2559649999999998,7.821137
2022-01-12 19:00:00,9.477388,3.4663455,2.6691085,4.327389,2.925639,8.340336
2022-01-12 20:00:00,11.02154,3.720158,5.0,3.798336,1.2643405,10.86874
2022-01-12 21:00:00,11.346655,4.970127,5.116385,3.898792,2.5096945,4.279387
2022-01-12 22:00:00,11.6840555,5.1610215,5.362407,3.692028,3.0550555,8.801269
2022-01-12 23:00:00,11.8617895,5.2814345,5.4982880000000005,3.103028,4.5870345,7.383847
2022-01-13 00:00:00,11.79734,6.153929,4.89011,2.685833,4.4649645,9.155708
2022-01-13 01:00:00,9.5323,5.0,6.4000520000000005,2.65402,4.6531465,9.817028
2022-01-13 02:00:00,8.882390000000001,5.0,5.529176,2.675722,3.6728275,7.036736
2022-01-13 03:00:00,10.078348,4.9325415,1.6784430000000001,2.206667,5.382151,6.004068
2022-01-13 04:00:00,7.8470965,4.5,3.4985679999999997,2.32,4.659533,6.089304
2022-01-13 05:00:00,12.0091325,5.0,4.8669095,2.071222,6.2497679999999995,7.013216
2022-01-13 06:00:00,7.7957909999999995,2.7452855,5.4709715,2.183222,5.808701,8.760131
